block_index,timestamp,location,pH,turbidity,dissolved_oxygen,flow_rate,status,previous_hash,current_hash
21,2024-01-01 10:30:00,Reservoir-C,7.52,1.1,7.0,213.1,ANOMALY,f3c4fe90fb943328ab3b10d54c81b276e8cb9f3969957a4db1ec389faa49177e,12dbd094c20d7ae7ff5f2461b42e383a32bd584b47eb8460780b07b52533fb1f
22,2024-01-01 11:00:00,Lake-B,8.34,2.3,7.45,178.3,NORMAL,12dbd094c20d7ae7ff5f2461b42e383a32bd584b47eb8460780b07b52533fb1f,0fa1682f76add311f33482e7c361f9a2f687dcf00a068138f729e0a1d326cabc
23,2024-01-01 11:30:00,River-A,6.98,1.22,7.77,155.1,NORMAL,0fa1682f76add311f33482e7c361f9a2f687dcf00a068138f729e0a1d326cabc,74c3aae8fe442fdee8a1cea6aebef7a787c076be775cd03bfb63d5cc5947518d
24,2024-01-01 12:00:00,River-A,8.46,2.1,6.0,561.8,ANOMALY,74c3aae8fe442fdee8a1cea6aebef7a787c076be775cd03bfb63d5cc5947518d,e840c0c2706406a8f6136824ed3c509a27f86f42f14ab43ad38f1794b8681883
25,2024-01-01 12:30:00,Reservoir-C,7.03,3.12,7.19,248.3,NORMAL,e840c0c2706406a8f6136824ed3c509a27f86f42f14ab43ad38f1794b8681883,83ad5ada739592b1f658335598798c7b2967288c4d5c04d237e892a01e0cfb98
26,2024-01-01 13:00:00,Reservoir-C,7.88,2.64,7.1,570.2,NORMAL,83ad5ada739592b1f658335598798c7b2967288c4d5c04d237e892a01e0cfb98,a063a4f13ff87e444f4dd5d327c08ffa961948ebd8eb0a447f55f4378dc4a331
27,2024-01-01 13:30:00,Reservoir-C,7.4,5.83,5.76,114.7,ANOMALY,a063a4f13ff87e444f4dd5d327c08ffa961948ebd8eb0a447f55f4378dc4a331,7d48d17f5dcc032a794428203623d8a283acd57436ab4e03f06f9074cc7e5af0
28,2024-01-01 14:00:00,Lake-B,6.94,0.71,8.02,260.3,ANOMALY,7d48d17f5dcc032a794428203623d8a283acd57436ab4e03f06f9074cc7e5af0,0315d799125dfb3f5f65755500189819a8e9f42dce6d5a58cc08ec1cb9eec33a
29,2024-01-01 14:30:00,Reservoir-C,6.64,1.21,8.18,250.0,NORMAL,0315d799125dfb3f5f65755500189819a8e9f42dce6d5a58cc08ec1cb9eec33a,dc308d459c892efa1f136fa2eb5ff3af31849c10c4ac186b6b3fa72ac8decd87
30,2024-01-01 15:00:00,Reservoir-C,7.65,1.23,7.39,384.9,NORMAL,dc308d459c892efa1f136fa2eb5ff3af31849c10c4ac186b6b3fa72ac8decd87,50bf5de6e57210c258fc2846b68b6f407a5ae4341106797e654140d5923c37db
31,2024-01-01 15:30:00,Reservoir-C,7.36,1.77,7.37,610.4,NORMAL,50bf5de6e57210c258fc2846b68b6f407a5ae4341106797e654140d5923c37db,b3ed949b23ab5bc32454bf9e34ecc2327b11abca5f710a821678d2c23a5a9ff2
32,2024-01-01 16:00:00,River-A,6.7,1.71,6.86,703.2,NORMAL,b3ed949b23ab5bc32454bf9e34ecc2327b11abca5f710a821678d2c23a5a9ff2,183696626c04e6ae3efb609991e4f0df03f89bd4089fd1c011d153f1abada0f1
33,2024-01-01 16:30:00,River-A,7.57,0.92,6.23,423.8,ANOMALY,183696626c04e6ae3efb609991e4f0df03f89bd4089fd1c011d153f1abada0f1,86f2bd634515bffba057bc2d9574ffcd85c495acae32aa0b505441c0ddb3ec6f
34,2024-01-01 17:00:00,River-A,7.39,3.08,7.7,135.4,ANOMALY,86f2bd634515bffba057bc2d9574ffcd85c495acae32aa0b505441c0ddb3ec6f,b6939069322628b3b10558569100cb7023aa39505b603001e1d2ccae1d8bd2f9
35,2024-01-01 17:30:00,River-A,8.44,3.28,8.89,216.4,NORMAL,b6939069322628b3b10558569100cb7023aa39505b603001e1d2ccae1d8bd2f9,e36b73ca8f0f5341ce3de9dbe5ab7ae1345167cd926b3ba8ab51747d117913ae
36,2024-01-01 18:00:00,Lake-B,8.23,3.21,6.16,101.5,NORMAL,e36b73ca8f0f5341ce3de9dbe5ab7ae1345167cd926b3ba8ab51747d117913ae,0da786ee33cdb42f4d4ef8e6c91986ebea6e6c98d1e0a9f029a948999bfca0ca
37,2024-01-01 18:30:00,Lake-B,7.07,2.59,8.42,648.4,NORMAL,0da786ee33cdb42f4d4ef8e6c91986ebea6e6c98d1e0a9f029a948999bfca0ca,80c3bcb3ec35cac5b6e7bd2f7aab7f670f1977f6661bed79c4dd1ee55b36839b
38,2024-01-01 19:00:00,Reservoir-C,6.81,1.39,9.37,505.4,NORMAL,80c3bcb3ec35cac5b6e7bd2f7aab7f670f1977f6661bed79c4dd1ee55b36839b,143cf875860e7d2a88344da2edc682531358a49de4eb75bad763708df33cb3f9
39,2024-01-01 19:30:00,River-A,7.13,0.65,7.41,743.6,NORMAL,143cf875860e7d2a88344da2edc682531358a49de4eb75bad763708df33cb3f9,72dd0338681cc8441d7929ca808d9c8ac93fab218c1e021fe5b92c24de7ee864
40,2024-01-01 20:00:00,River-A,8.42,5.25,6.24,516.5,ANOMALY,72dd0338681cc8441d7929ca808d9c8ac93fab218c1e021fe5b92c24de7ee864,45a37d0272c88b9a70cdcf8a2881b2084619ec090e5705b67cc80084096b8a25
41,2024-01-01 20:30:00,River-A,7.31,3.32,7.78,505.2,NORMAL,45a37d0272c88b9a70cdcf8a2881b2084619ec090e5705b67cc80084096b8a25,52ccd4a6294ea6eedd2470c4f7534f646d35d828656af6411586cde7591b0fd9
42,2024-01-01 21:00:00,Reservoir-C,7.34,2.25,7.59,754.3,NORMAL,52ccd4a6294ea6eedd2470c4f7534f646d35d828656af6411586cde7591b0fd9,17786c8b7317958114319c654e3540ef2336b07f0a76e2c6933eff214d1c955c
43,2024-01-01 21:30:00,River-A,7.13,1.3,6.02,551.9,NORMAL,17786c8b7317958114319c654e3540ef2336b07f0a76e2c6933eff214d1c955c,8cbd25e96274ed427d56e71287fa91f9ffd87ce5da00939a7e5e647a7644fff6
44,2024-01-01 22:00:00,Reservoir-C,6.52,2.36,7.75,170.0,NORMAL,8cbd25e96274ed427d56e71287fa91f9ffd87ce5da00939a7e5e647a7644fff6,a15679b1232d4b283ce492058accc235866c8b3e2db3ba8b821d01a32ad52c43
45,2024-01-01 22:30:00,River-A,7.03,3.3,9.02,715.5,NORMAL,a15679b1232d4b283ce492058accc235866c8b3e2db3ba8b821d01a32ad52c43,166978b725ea254c9fd41e2fb200710c9cf640bc72665bd873011280cf0029ea
46,2024-01-01 23:00:00,Reservoir-C,7.38,2.13,6.71,788.7,NORMAL,166978b725ea254c9fd41e2fb200710c9cf640bc72665bd873011280cf0029ea,77468e9493ac8eb300c4529ceeba5f8f2ca8ff3684546954c58a59c7bc61bf85
47,2024-01-01 23:30:00,River-A,6.52,2.95,6.7,564.4,ANOMALY,77468e9493ac8eb300c4529ceeba5f8f2ca8ff3684546954c58a59c7bc61bf85,d9416e8ff4c9767a37f11d47b3c243952594b62a74d10e787711d66f756158fc
48,2024-01-02 00:00:00,River-A,7.03,3.17,8.47,208.8,NORMAL,d9416e8ff4c9767a37f11d47b3c243952594b62a74d10e787711d66f756158fc,0f33e75bf67add6a2bf13fbfff4846e4369ca7ff9b9617a69cb6db16ea71a666
49,2024-01-02 00:30:00,River-A,7.94,1.11,8.04,284.8,NORMAL,0f33e75bf67add6a2bf13fbfff4846e4369ca7ff9b9617a69cb6db16ea71a666,ef9c00da8496251c5272f5a5ea3befffe0420a2262c1ec80e21ddca5fd15481a
